salutation,name,code,phone_no,email,dob,department_id,father_name,blood_group,material_status,access_no,address_type,profile,active_status,created_by,updated_by,created_at,updated_at,deleted_at,address_details,address_table,address_type_id,address_ref_id,sf_no,building_name,address_line_1,address_line_2,land_mark,country_id,state_id,district_id,city_id,postal_code,active_status,created_by,updated_by,created_at,updated_at,deleted_at
Mr,Arjun,4545,8569325458,Arjunkvalsakumaraaaaa@gmail.com,01-09-2020,Test,NULL,NULL,NULL,NULL,NULL,2020-09-011598946299.png,1,0,0,01-09-2020 13:14,23-01-2021 15:34,NULL,,Supplier,3,1,NULL,NULL,"jjhjn,m",hghjgh,hgfhhj,1,1,2,NULL,1212,1,0,0,05-04-2020 18:28,05-04-2020 18:28,NULL
Mr,Suhail,1245221,9586523255,suhailga@gmail.com,03-01-1990,Test,NULL,NULL,NULL,NULL,NULL,2020-11-251606281579.png,1,0,0,25-11-2020 10:49,23-01-2021 15:45,NULL,,Supplier,2,2,NULL,NULL,jhkhkj,hgjhjh,gfhgfg,1,2,NULL,NULL,124578,1,0,0,10-04-2020 15:58,10-04-2020 15:58,NULL
Mr,Testcreate,785423,9256324578,test@gmail.com,06-01-2021,Test,Sahgash,A+ve,Single,474747,NULL,2021-01-061609922619.pdf,1,0,0,06-01-2021 14:13,06-01-2021 14:13,NULL,,Supplier,2,3,NULL,NULL,hghj,jhgjjbk,NULL,1,2,NULL,NULL,12458,1,0,0,10-04-2020 16:08,10-04-2020 16:08,NULL
Mr,NULL,NULL,NULL,NULL,NULL,Test,NULL,NULL,NULL,NULL,NULL,,1,0,0,06-02-2021 9:50,06-02-2021 9:50,NULL,,Supplier,1,4,NULL,NULL,"jjhjn,m",hghjgh,NULL,1,1,NULL,NULL,1212,1,0,0,10-04-2020 16:18,10-04-2020 16:18,NULL
,,,,,,,,,,,,,,,,,,,,Supplier,1,5,NULL,NULL,ghjjh,NULL,NULL,1,1,1,NULL,222,1,0,0,11-05-2020 14:46,11-05-2020 14:46,NULL
,,,,,,,,,,,,,,,,,,,,Supplier,1,6,NULL,NULL,Address Line 1,Address Line 1,Land Mark,1,1,2,NULL,890765,1,0,0,11-05-2020 16:52,11-05-2020 16:52,NULL
,,,,,,,,,,,,,,,,,,,,Agent,1,2,NULL,NULL,test address 1,test address 2,NULL,1,1,1,NULL,88563,1,0,0,17-05-2020 20:46,17-05-2020 20:46,NULL
,,,,,,,,,,,,,,,,,,,,Supplier,2,7,NULL,NULL,hghj,jhgjjbk,NULL,1,2,NULL,NULL,12458,1,0,0,15-06-2020 15:40,15-06-2020 15:40,NULL
,,,,,,,,,,,,,,,,,,,,Agent,2,3,NULL,NULL,hghg,jhjhj,hgfhhj,1,1,1,NULL,121,1,0,0,15-06-2020 16:13,15-06-2020 16:13,NULL
,,,,,,,,,,,,,,,,,,,,Supplier,2,8,NULL,NULL,liu,NULL,NULL,1,2,NULL,NULL,252,1,0,0,18-06-2020 13:21,18-06-2020 13:36,NULL
,,,,,,,,,,,,,,,,,,,,Supplier,3,9,NULL,NULL,ooo,NULL,NULL,1,3,NULL,NULL,655,1,0,0,18-06-2020 14:15,18-06-2020 14:15,NULL
,,,,,,,,,,,,,,,,,,,,Agent,4,4,NULL,NULL,ttttt,NULL,NULL,1,3,NULL,NULL,56,1,0,0,18-06-2020 14:26,18-06-2020 14:26,NULL
,,,,,,,,,,,,,,,,,,,,Cus,1,1,NULL,NULL,test address 1,NULL,Land Mark,1,1,NULL,NULL,67895,1,0,0,30-06-2020 10:28,09-01-2021 11:46,NULL
,,,,,,,,,,,,,,,,,,,,Cus,1,2,NULL,NULL,Ttttt,NULL,NULL,1,3,NULL,NULL,56,1,0,0,18-08-2020 9:50,09-01-2021 11:46,NULL
,,,,,,,,,,,,,,,,,,,,Agent,3,5,NULL,NULL,Test Address 1,NULL,NULL,1,1,NULL,NULL,67895,1,0,0,01-09-2020 15:47,01-09-2020 15:47,NULL
,,,,,,,,,,,,,,,,,,,,Emp,1,2,NULL,NULL,Sample Address Line 1,Sample Address Line 1,NULL,1,1,1,NULL,752365,1,0,0,25-11-2020 10:49,25-11-2020 10:49,NULL
,,,,,,,,,,,,,,,,,,,,Cus,1,3,NULL,NULL,hghgfhg,NULL,NULL,1,1,1,NULL,222,1,0,0,31-12-2020 18:57,09-01-2021 11:44,NULL
,,,,,,,,,,,,,,,,,,,,Emp,1,3,NULL,NULL,hghgfhg,NULL,NULL,1,1,NULL,NULL,222,1,0,0,06-01-2021 14:13,06-01-2021 14:13,NULL
,,,,,,,,,,,,,,,,,,,,Cus,1,8,NULL,NULL,gfgdtd,zdgsvdf,dbvb,1,1,1,NULL,324434,1,0,0,23-02-2021 12:44,23-02-2021 12:44,NULL
